Abbrevation	Original
ECOL ECON	Ecological Economics
J CLEAN PROD	Journal of Cleaner Production
NATURE	Nature
SCIENCE	Science
ENERG POLICY	Energy Policy
FUTURES	Futures
P NATL ACAD SCI USA	Proceedings of the National Academy of Sciences
GLOBAL ENVIRON CHANG	Global Environmental Change
SUSTAIN SCI	Sustainability Science
DEGROWTH VOCABULARY	Degrowth: A vocabulary for a new era
NAT CLIM CHANGE	Nature Climate Change
ENVIRON VALUE	Environmental Values
SUSTAINABILITY-BASEL	Sustainability
J IND ECOL	Journal of Industrial Ecology
ENVIRON POLIT	Environmental Politics
NEW POLIT ECON	New Political Economy
WORLD DEV	World Development
GEOFORUM	Geoforum
ENVIRON RES LETT	Environmental Research Letters
THIRD WORLD Q	Third World Quaterly
J POLIT ECOL	Journal of Political Ecology
PROSPERITY GROWTH EC	Prosperity without growth
CAPITALISM NATURE SO	Capitalism Nature Socialism
J PEASANT STUD	The Journal of Peasant Studies
AM J ECON SOCIOL	American Journal of Economics and Sociology
EVOL INST ECON REV	Evolutionary and Institutional Economics Review
J ECON ISSUES	Journal of Economic Issues
J EVOL ECON	Journal of Evolutionary Economics